	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
ENKUR	26	7	23	17	16	21	0	29	25	25	24	23	28	2
ENO1	249313	64600	25362	72289	110874	27150	24026	41909	38172	40261	25250	24909	100488	37978
ENO2	10460	338	2508	1020	58568	395	8536	640	3247	1654	1010	2470	2462	9127
ENO3	149	99	32	61	1760	40	96	99	138	48	27	62	79	19
ENOPH1	5203	2000	4030	3965	6682	2617	3376	2430	2733	2589	2229	3644	2156	6191
ENOSF1	1310	1030	1033	1668	1168	1023	794	672	832	768	737	1029	629	878
ENOX1	426	17	522	459	279	85	11	120	265	411	913	205	422	83
ENOX2	1151	894	1150	609	2851	731	722	1130	612	921	1578	1207	1398	915
ENPEP	263	269	777	193	247	261	1300	621	274	691	651	1131	926	707
ENPP1	888	2662	7426	2313	687	6495	4554	4343	1990	5148	15993	4974	8847	6556
ENPP2	1166	3499	525	559	287	1644	1214	1265	1047	1921	604	2181	945	3311
ENPP3	2	111	38	1096	30	133	11	13	16	17	189	69	120	55
ENPP4	725	665	1966	2394	1953	214	10896	2768	178	1824	791	2874	3089	690
ENPP5	412	666	4128	1741	330	123	35840	2490	118	6610	2867	2748	4737	1225
ENPP6	398	13	39	49	82	30	12	37	22	51	96	55	26	25
ENPP7	2	0	2	0	0	0	0	2	1	0	6	2	4	1
ENSA	11135	5747	36339	20985	12247	15498	15832	25456	13093	21684	10096	27768	21414	7899
ENTHD1	14	0	2	5	53	23	0	15	25	9	5	10	10	11
ENTPD1	3052	1740	4306	4595	2377	2455	1862	3375	3723	4867	4993	4893	7805	3107
ENTPD2	361	406	760	1093	609	572	1480	891	1103	511	133	365	1885	417
ENTPD3	87	331	1069	188	77	75	20	481	285	432	450	234	1974	112
ENTPD4	1184	1227	1656	1585	535	762	1268	2288	564	2793	1735	1623	1028	946
ENTPD5	427	394	465	733	245	1310	1090	891	841	1323	1283	2440	2339	714
ENTPD6	4456	3782	7604	6776	2240	6160	5500	7652	5002	4333	4998	7894	5349	2914
ENTPD7	1171	1366	3540	4885	1646	1275	1452	3281	997	1635	3533	1611	2664	951
ENTPD8	6	11	283	4	1	50	576	1051	731	18	171	314	48	37
ENY2	2801	882	1461	3029	5197	1282	1103	2046	2067	1737	1392	1899	1523	2373
EOMES	45	1	5	7	10	204	12	293	48	41	26	47	200	29
EP300	7378	8176	7614	11677	5424	5909	9181	10161	7291	9934	8968	8164	10946	6999
EP400NL	165	331	435	441	253	95	172	427	348	106	198	525	307	297
EP400	4415	6153	4176	8990	10963	2528	3485	7278	4753	3730	4728	5599	5596	3030
EPAS1	3746	3421	14076	8151	1648	7965	7060	11083	7288	12228	10119	12823	6701	21691
EPB41L1	1951	3122	6008	4879	3340	6303	2553	6797	8116	5932	4243	7318	6137	13885
EPB41L2	7133	9123	3625	1478	911	2343	4099	3863	2851	3844	5937	3185	5764	4069
EPB41L3	920	239	2496	1855	3680	765	7873	1447	728	10252	2438	4209	3169	1698
EPB41L4A	592	1017	1628	67	1526	1809	2766	5202	934	1851	1669	1870	3623	568
EPB41L4B	4204	1550	916	959	3228	967	595	2243	1925	1306	1762	1372	2141	934
EPB41L5	1171	1249	1967	2640	1452	1826	1239	1089	1558	2099	1508	3546	1883	2088
EPB41	2059	2522	2417	10412	14096	1478	4400	3640	3643	3387	1764	3323	3439	3654
EPB42	0	0	0	1	0	3	0	0	0	0	0	10	0	7
EPB49	604	1890	2165	262	51	832	1271	377	208	2430	1366	1874	1006	2120
EPC1	824	1873	1409	3178	2299	1226	1581	2049	1049	2452	1348	1572	1681	1524
EPC2	2090	1958	1830	3505	4645	1137	1503	1645	1565	2418	1680	2372	2165	1610
EPCAM	22606	7763	10390	37817	31021	12395	13048	16857	8497	13258	8965	13847	14686	11553
EPDR1	1495	502	949	1298	407	299	121	461	224	473	657	614	614	628
EPGN	0	1	0	0	3	0	0	1	4	0	6	0	4	0
EPHA10	628	209	555	27	777	176	365	589	435	347	176	289	266	630
EPHA1	738	1193	1639	2028	239	1494	720	1108	720	1111	965	860	1385	658
EPHA2	899	3509	930	2361	263	416	341	765	818	589	515	772	749	873
EPHA3	33	31	303	22	62	158	114	1245	295	141	767	676	160	154
EPHA4	1361	960	415	313	3384	572	744	5576	423	480	740	1115	815	643
EPHA5	1	3	11	0	3	2	1	3	5	0	0	4	1	5
EPHA6	3	53	6	10	12	2	49	54	8	2	1	12	8	78
EPHA7	549	1774	11	13448	51	4	70	7	17	54	94	28	81	134
EPHA8	2	1	0	1	483	59	132	3	10	14	3	5	77	0
EPHB1	77	85	61	1410	323	118	72	74	41	404	54	182	82	54
EPHB2	369	344	753	694	2732	276	223	1599	508	394	1034	1032	1278	627
EPHB3	4692	21385	4120	79467	10719	1425	7291	5520	856	5652	5751	3042	4199	2331
EPHB4	8579	10039	6786	11180	6063	5937	8148	8218	9294	6305	9755	5939	12247	5813
EPHB6	4384	1224	274	49	494	336	53	159	114	331	280	161	213	222
EPHX1	2369	8365	5879	7164	2129	10001	7993	11706	12035	10496	5441	6680	22202	15074
EPHX2	1271	1504	2304	625	221	858	3104	650	988	2295	819	3025	942	1461
EPHX3	22	12	15	5	6	2	8	19	20	14	38	19	20	8
EPHX4	245	227	27	345	251	11	448	38	63	234	416	45	231	471
EPM2AIP1	1160	3759	3352	9339	2333	1447	2783	1962	3813	2925	3124	4488	2803	1710
EPM2A	846	500	229	682	815	305	391	367	368	287	341	387	398	506
EPN1	6008	4240	7594	15733	7725	6241	15294	5942	7531	6570	6551	6092	6516	6761
EPN2	1238	2301	4705	2378	2617	2228	1669	4125	4383	2396	2834	2853	2699	1987
EPN3	279	547	4747	2111	573	2725	1337	2067	1929	2561	2084	4656	3328	1531
EPOR	74	117	186	340	221	237	145	132	506	377	263	204	207	127
EPO	3	1	0	2	6	3	1	36	4	6	4	9	16	0
EPPK1	4461	3463	2547	449	9636	3214	948	1565	6920	4501	2394	5599	8236	2908
EPR1	3114	313	1346	5721	3232	429	450	862	370	1059	537	550	1495	1318
EPRS	24057	9502	16789	15535	16048	12022	16696	17635	8571	19522	10900	10247	18553	11966
EPS15L1	2573	1740	3232	3812	4436	3618	2604	3156	4289	4658	2678	4119	2980	2688
EPS15	3784	4026	8184	7658	2821	3948	4095	3826	5644	4145	5921	4511	5687	4306
EPS8L1	507	603	5222	1102	145	2713	1094	3206	3206	1734	2396	1455	2747	2409
EPS8L2	4263	2124	8094	54	3596	2743	4776	6677	5508	4156	2721	3514	5660	3473
EPS8L3	0	0	0	0	0	0	3	5	1	0	0	1	1	2
EPS8	11084	3280	3419	4920	10694	1358	1725	4360	2863	3217	2369	4188	3127	3670
EPSTI1	542	13	592	213	97	336	275	906	451	293	365	905	2456	194
EPT1	5659	3419	3921	9720	9117	1666	3734	6776	2928	3549	2751	6676	3742	4843
EPX	3	5	0	5	18	0	1	1	8	7	0	5	2	7
EPYC	8	2	3745	70	1	4	2	855	19	26	3225	63	2562	34
ERAL1	2440	2234	5241	9097	2668	2485	3444	3261	3448	3173	2652	3301	2425	3820
ERAP1	6273	3257	4553	1097	966	2279	2663	10347	4054	6484	4772	8064	6370	4417
ERAP2	1181	102	2230	677	872	4910	869	10110	1718	1976	2918	5807	275	3739
ERAS	5	10	0	2	18	1	0	0	5	0	2	2	3	4
ERBB2IP	4767	7470	9568	6920	4392	4866	6098	13071	6223	7736	7225	9164	9448	8023
ERBB2	8534	14898	584663	35078	963	18620	13844	476772	29614	28294	49815	39255	15233	25462
ERBB3	14607	9572	22785	34480	8217	29712	35761	42865	22700	41165	19392	22275	20493	20187
ERBB4	89	484	5668	62	8	4878	4606	438	6147	4776	2642	1582	3217	1227
ERC1	15264	5131	5751	7341	17217	3883	4872	5943	3129	6453	6902	4041	4080	4864
ERC2	108	15	44	451	84	7	1	24	4	21	9	99	10	27
ERCC1	2519	2715	2736	2953	2075	3788	14365	2839	3257	3051	2263	2079	2801	1926
ERCC2	1326	1409	753	4306	1786	1403	8517	1340	1542	1157	1112	980	1243	1272
ERCC3	3929	2566	3251	4383	5708	810	2415	2424	2264	2943	2042	3346	3048	2112
ERCC4	748	996	819	3193	780	562	841	837	1605	1451	973	1066	1570	1123
ERCC5	1737	3166	2896	3768	6858	2807	1840	2488	3256	3125	3048	2602	2851	2945
ERCC6L	592	136	479	2866	1057	281	294	398	229	407	111	207	654	312
ERCC6	534	938	669	505	976	755	1051	772	717	1081	1182	2360	1356	489
ERCC8	474	633	360	907	430	292	286	659	220	478	375	447	485	535
EREG	73	5	11	3	6	9	2	1	2	7	7	10	6	2
ERF	4756	3216	4143	3069	5586	4642	1186	4105	1910	3040	2162	2743	3299	2097
ERGIC1	7068	8437	34783	12614	7404	26664	32857	42262	22183	21400	19511	27116	14505	12445
ERGIC2	5352	1407	3121	11002	2054	1601	1753	3361	1626	2227	2420	2410	1818	1509
ERGIC3	15966	16174	15937	17865	11708	13420	17950	19537	14122	14275	11616	15027	13863	51341
ERG	434	258	713	342	1287	839	734	799	935	1118	706	1875	552	1085
ERH	5761	3231	7247	7183	10699	5839	4537	6109	5555	8129	5143	5974	6518	6941
ERI1	1576	739	1147	901	634	709	595	1121	438	1623	1166	1134	1668	1162
ERI2	643	577	996	4162	486	1424	996	920	3118	1621	974	1090	1810	1411
ERI3	4437	2322	3517	6613	5526	3003	2355	2320	2950	2813	2690	1754	3697	2283
ERICH1	837	476	832	306	484	506	485	784	301	847	530	647	578	752
ERLEC1	2935	3427	7776	5321	3397	3527	5424	6665	4505	5141	6277	6808	5198	6808
ERLIN1	2187	3055	2839	5270	2538	2401	1910	2634	1947	3260	3477	3722	3720	2170
ERLIN2	3693	6765	4814	4164	12503	6732	5714	6449	14146	7667	7131	6678	4095	9465
ERMAP	1321	1163	1547	411	517	1158	585	1383	1192	1046	1580	871	1284	600
ERMN	222	45	403	35	91	21	9	187	258	45	285	148	263	49
ERMP1	4506	2635	10503	2166	3332	4799	8392	7788	24805	8202	14106	4947	12394	6334
ERN1	218	1071	685	1237	308	590	575	5015	340	794	523	380	1004	2159
ERN2	0	90	1	0	3	0	72	2	0	0	0	3	0	0
ERO1LB	212	414	2027	179	182	789	344	1877	107	943	803	1426	329	2703
ERO1L	1503	433	2305	1828	2027	1187	1860	2736	1106	2109	2163	2463	4094	2643
ERP27	648	189	194	1952	217	499	78	392	1473	1102	254	589	1322	108
ERP29	11282	8489	9760	10252	8111	7459	7396	9410	10458	7699	10312	6659	11510	4619
ERP44	3684	2423	2951	3883	6072	2036	3718	5428	2739	3097	3758	4379	5523	3084
ERRFI1	4666	18836	3269	7413	12658	3456	1256	2046	5642	3659	2037	3202	3166	6579
ERVFRDE1	2	2	2	6	0	17	1	8	12	11	8	11	5	3
ESAM	999	306	1606	664	1466	1289	1681	1575	1306	1660	1199	3006	1942	1760
ESCO1	1547	1603	2018	2485	2991	947	1351	1581	1089	1325	905	1148	1207	1238
ESCO2	558	176	395	1374	453	87	275	744	114	603	184	325	716	567
ESD	3717	5540	5783	6420	11636	3952	2611	3483	3496	5188	4726	3809	3612	5004
ESF1	1826	1113	1126	2717	2535	959	1004	1607	728	1106	898	1911	1465	1065
ESM1	241	105	661	93	727	22	430	414	251	415	565	515	860	361
ESPL1	923	350	556	3026	3571	831	435	1861	405	1428	225	479	1824	725
ESPNL	17	48	4	6	158	51	9	8	62	57	5	132	162	25
ESPNP	6	6	0	8	48	6	18	3	6	12	1	0	9	0
ESPN	3434	261	1434	364	4624	3064	1656	1428	2032	1067	665	173	1479	727
ESR1	356	1910	17462	54	23	18431	31812	39657	45857	13407	3569	29406	14083	12807
ESR2	27	26	8	38	40	20	7	34	17	22	5	16	29	30
ESRP1	9210	4587	10085	16326	19020	5354	5590	17160	8962	8420	6920	9853	7813	7071
ESRP2	2163	2559	2856	4638	1261	3750	3783	5386	3214	2887	2155	3638	2164	4541
ESRRA	2581	1658	1691	977	2384	1240	1415	2566	2217	827	801	827	2877	884
ESRRB	6	9	13	1	40	22	8	5	1	4	75	19	1	6
ESRRG	50	780	747	2703	272	196	56	185	33	1434	192	624	2847	136
ESX1	0	0	0	112	17	0	0	0	0	0	0	0	0	0
ESYT1	10935	8010	9365	10349	5102	8386	17215	10387	9002	13788	9589	7925	12207	9841
ESYT2	9818	7231	10062	7176	9717	7537	8357	7401	9565	9470	11665	12080	11135	12856
ESYT3	296	52	22	2032	722	17	7	62	52	42	17	58	613	31
ETAA1	894	904	783	1757	922	922	899	796	937	1284	934	1058	1023	919
ETF1	9690	10123	8615	10001	7406	5053	5997	14923	8433	8758	5286	7873	6502	8822
ETFA	2991	1538	2415	6529	5664	1041	1352	4223	2612	3026	3569	2808	4436	3796
ETFB	553	1721	513	3466	1262	2601	4580	1940	938	1688	948	1397	2206	4439
ETFDH	716	885	873	764	763	868	939	885	1422	1203	1311	1170	1064	576
ETHE1	1349	740	2123	1913	828	1403	3239	1098	2240	1764	2279	1223	2144	886
ETNK1	17410	3083	4232	12258	13045	3069	3008	4476	2668	4536	3814	5191	3051	3156
ETNK2	488	679	9174	3966	1876	6982	8239	1529	5778	7569	16637	1813	1244	3894
ETS1	10897	1597	6319	2158	2694	7370	4451	8003	6396	6577	6211	9632	7785	7283
ETS2	3512	3228	3709	4364	5073	1857	1502	1959	2405	2725	1905	7292	2963	4246
ETV1	233	463	2829	2071	314	916	287	680	703	1150	1517	1142	803	458
ETV2	29	25	21	13	43	57	16	13	30	29	14	11	42	27
ETV3L	41	51	17	12	8	10	11	42	17	47	15	29	46	10
ETV3	793	737	691	957	721	616	879	1438	541	1210	726	1244	1455	635
ETV4	569	519	854	2915	3903	261	59	427	69	345	238	246	100	398
ETV5	1331	3363	1720	1015	6698	684	550	1014	706	1447	1692	906	1152	1157
ETV6	32074	10902	4079	14789	17422	5586	2844	5245	3236	6606	3637	3875	4135	9567
ETV7	339	27	55	80	183	121	47	148	128	86	50	303	914	91
EVC2	40	571	350	29	514	208	49	238	200	372	590	298	546	149
EVC	1217	2317	3540	147	1031	1229	540	4077	1590	3065	6640	3449	4596	1919
EVI2A	667	97	1241	215	82	688	459	1034	1000	448	1211	593	1101	605
EVI2B	1142	174	1121	425	119	1505	657	1610	1323	622	1170	819	1402	761
EVI5L	312	1072	1765	2897	322	1260	840	1850	1113	1006	1172	851	1689	664
EVI5	876	1250	2033	1324	623	530	660	1093	950	1081	1885	1126	1079	1218
EVL	2279	2819	10154	6427	4396	11486	14389	15877	9470	4448	5437	15856	6174	2057
EVPLL	38	4	181	0	273	0	10	14	4	29	8	2	6	0
EVPL	3658	2087	11176	60	1030	3263	1741	3627	5446	4374	3426	2117	2540	1903
EVX1	0	0	0	1	39	14	1	1	1	1	0	0	0	2
EVX2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EWSR1	12044	9443	13631	10511	25849	10881	8404	12046	8999	10159	7868	9829	11269	10042
EXD1	7	0	6	12	0	0	1	5	0	0	0	0	0	3
EXD2	1759	1688	2296	2653	2172	1756	2505	2339	2565	3682	3012	3580	1652	3232
EXD3	493	414	161	208	402	425	317	327	670	382	358	402	459	222
EXO1	1465	214	835	4745	1016	323	396	1557	239	879	225	213	1831	540
EXOC1	2455	1952	2131	3259	2411	1499	2514	1717	2525	2340	2244	2897	1977	2717
EXOC2	1902	1472	3212	6999	3785	6648	6031	5953	3855	3885	2680	4068	3366	3228
EXOC3L2	102	25	188	53	88	88	206	157	109	161	142	266	196	148
EXOC3L	120	46	239	82	104	112	156	125	97	148	107	180	242	168
EXOC3	5008	2975	2835	2410	3270	2328	2781	5176	3195	3006	3199	3324	3438	3191
EXOC4	5380	3516	3938	6180	6293	3979	4078	3081	5999	6534	4501	5969	5656	4279
EXOC5	3792	3141	4546	16892	7978	2079	3370	3610	3481	3647	4295	5372	5204	4409
EXOC6B	187	1573	453	1073	500	182	521	637	521	727	643	761	625	502
EXOC6	655	865	3219	2838	2628	2071	2116	2104	1891	2025	1409	2752	1528	1199
EXOC7	7668	7307	13517	14838	5159	6483	6937	6741	9199	8201	9740	8982	9794	6289
EXOC8	1067	1051	2010	1735	762	1122	1969	1661	909	1944	1616	1691	2438	1555
EXOG	233	330	377	786	174	127	158	231	198	247	279	305	504	175
EXOSC10	6808	5259	3324	4793	4942	4744	3728	4761	4527	5238	2729	3698	5679	3565
EXOSC1	890	647	1203	2585	894	1214	962	1280	1022	1108	717	1212	1332	699
EXOSC2	1828	1067	600	2746	3011	899	937	1525	769	1338	804	1224	1211	735
EXOSC3	1221	583	868	1113	1793	1007	1245	3340	958	974	605	1397	1260	499
EXOSC4	2059	807	1065	587	2208	1415	597	2118	2830	955	691	1045	964	1300
EXOSC5	2162	923	556	2074	3217	1350	894	1172	798	1232	544	871	1092	1243
EXOSC6	1055	675	673	987	516	736	747	585	578	686	581	622	749	802
EXOSC7	2196	984	1351	3508	1019	943	1138	1568	1231	1641	1218	1538	1362	1152
EXOSC8	1096	529	688	881	3960	492	341	707	422	591	427	523	810	784
EXOSC9	1684	1089	1539	1208	2817	940	965	1292	802	1450	821	1331	900	1847
EXPH5	631	1142	608	1624	1776	542	693	606	905	699	522	820	1605	1193
EXT1	2829	3772	3395	2129	2361	2454	1532	4081	2223	2260	3742	4567	3913	2375
EXT2	3981	8176	10397	17682	7032	4381	3562	6362	4530	6206	10547	6629	9467	6980
EXTL1	32	444	105	203	29	22	12	36	160	99	187	236	158	224
EXTL2	883	1823	1551	2125	809	508	655	843	1010	877	1236	777	1290	504
EXTL3	4422	4401	4237	5998	2619	974	1473	2970	2349	3739	3482	2981	2601	2371
EYA1	654	11	12	1	549	4	73	1758	10	40	23	132	15	15
EYA2	1100	2921	2812	1083	2699	2597	131	2510	107	1034	1837	3967	1462	438
EYA3	716	618	248	1421	1088	117	385	283	500	568	360	390	688	264
EYA4	30	145	100	4	7	62	0	51	24	23	364	30	277	5
EYS	23	29	34	22	40	17	18	35	18	29	20	49	24	46
EZH1	829	1625	899	813	1150	1835	1600	1491	2332	2955	2297	2919	1292	1492
EZH2	3172	870	1309	4839	7839	825	693	1507	433	953	359	576	1792	658
EZR	39160	10187	48062	5332	17437	14766	18672	23970	29308	12233	11636	32804	32943	50305
F10	38	18	93	60	15	94	33	60	97	90	73	88	135	79
F11R	17739	8691	16781	22243	14217	12758	14671	25675	11850	26471	10410	23101	34135	16652
F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F12	309	62	734	266	281	84	124	330	218	379	69	83	378	240
F13A1	1035	393	5615	249	58	1518	1448	1777	4016	4408	9159	3454	7217	2555
F13B	0	0	3	2	1	2	0	0	0	0	0	0	0	0
F2RL1	455	528	973	857	586	212	206	838	412	520	730	1251	1445	1409
F2RL2	490	96	679	410	210	3126	885	4966	4188	3291	3178	4414	3321	2545
F2RL3	172	199	425	318	94	295	478	260	408	164	51	321	94	640
F2R	1984	660	2982	4407	2052	6068	2845	8950	6845	6899	5725	9694	6122	6560
F2	0	1	0	1	0	4	1	0	0	0	0	1	3	0
F3	516	6494	4938	199	251	1768	1285	782	1494	1529	3038	4539	742	1556
F5	92	191	22	278	348	112	39	106	46	45	53	88	188	38
F7	7	11	407	4	12	1279	7	328	242	601	241	27	435	15
F8A1	506	176	376	958	472	399	323	402	581	361	733	349	541	421
F8	629	655	757	1413	856	1227	1552	824	1356	1435	1532	1470	1138	2198
F9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FA2H	628	278	596	453	738	256	1436	702	162	150	321	217	523	286
FAAH2	406	126	1064	72	709	637	754	259	586	1041	585	1237	437	3006
FAAH	491	417	3262	664	894	2917	2363	1009	2933	1512	1603	1371	883	2693
FABP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
FABP2	0	0	1	1	0	0	0	0	0	0	0	1	0	0
FABP3	262	47	2159	126	136	112	249	259	145	128	181	394	228	120
FABP4	1182	738	3	474	121	1480	406	182	916	997	28	4133	366	7696
FABP5L3	1	4	0	0	1	1	2	0	1	0	2	4	2	1
FABP5	808	52	138	475	608	75	68	124	109	105	86	112	176	115
FABP6	146	0	9	396	1	2	2	5	9	2	0	2	1	9
FABP7	963	6341	4	192	17	13	8	11	0	69	85	2395	357	35
FABP9	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FADD	2122	995	4406	1646	1162	1740	3983	3598	1719	4897	1648	2361	2223	3295
FADS1	5901	615	4689	3759	3999	307	4702	7917	586	857	1883	1679	2473	4317
FADS2	24670	3388	44291	30139	22753	1155	81458	43868	1129	1728	2572	5282	16280	2488
FADS3	1548	257	980	745	940	385	498	1341	723	322	316	894	430	1245
FADS6	0	7	7	0	146	6	1	0	2	3	0	6	0	2
FAF1	5088	2069	3569	8488	7530	2556	3299	1618	2522	2948	2131	1851	3344	2495
FAF2	3301	3902	6398	3378	4375	3777	4516	9910	5553	6512	5947	7425	4630	6695
FAHD1	1203	821	3931	1246	578	1810	1702	1110	3832	2320	1773	2265	1415	1738
FAHD2A	678	876	662	1707	601	587	308	440	565	898	590	728	812	566
FAHD2B	660	750	235	477	522	1606	595	1090	1129	1259	329	445	629	752
FAH	796	386	4977	2913	566	5568	2930	2977	4102	3904	2903	2310	2768	3174
FAIM2	28	109	11163	1280	1339	459	79	158	113	104	136	198	515	56
FAIM3	395	89	813	103	210	1449	430	624	1576	2160	321	709	834	608
FAIM	1227	537	842	1950	882	593	327	622	506	710	463	860	1336	564
FAM100A	1061	1290	999	769	545	1461	635	1168	2182	1216	918	859	1536	681
FAM100B	2989	770	3350	3275	3682	1212	1016	1081	957	1170	1325	1722	2459	1546
FAM101A	607	3007	508	232	1640	65	34	236	111	139	949	326	508	97
FAM101B	2146	817	1982	1400	1465	614	465	1191	1007	1409	4805	2039	2282	729
FAM102A	6522	3537	4963	7821	4646	7487	19632	18776	13025	11546	10288	12477	10680	9615
FAM102B	4593	2106	2806	10369	4666	1076	1113	4961	3693	5562	3157	8529	2597	3500
FAM103A1	800	839	1126	2563	1916	1526	914	1243	1394	1259	1016	837	787	1188
FAM104A	2552	1217	3597	3290	2032	1768	2423	4974	1996	2450	2448	2810	2786	2476
FAM104B	407	318	742	1179	968	591	346	319	524	474	579	595	488	312
FAM105A	952	322	1356	844	904	463	301	1680	430	617	1909	639	1448	4643
FAM105B	4093	1089	1603	2413	2938	622	1034	2200	946	1166	1449	1542	2029	1567
FAM106A	1	33	16	36	18	1	12	25	21	4	8	3	2	1
FAM106C	7	54	21	26	9	18	8	13	17	28	29	7	5	2
FAM107A	124	298	169	136	17	462	312	132	421	307	125	318	181	1000
FAM107B	3248	1583	5187	6342	6833	7918	2472	3524	4149	6879	6658	9185	7067	6633
FAM108A1	1304	827	1606	1537	754	1844	1387	1400	1390	1373	1404	891	1654	1040
FAM108B1	1047	1089	756	1453	2035	731	1143	1088	793	1186	947	1200	1172	925
FAM108C1	1679	807	5372	1405	2030	2434	7463	2208	3852	2204	922	4975	804	1124
FAM109A	833	816	1671	1716	1072	558	765	1097	1174	738	1393	806	1315	881
FAM109B	396	837	2392	2715	761	1354	1762	1968	842	2030	2212	1207	1858	718
FAM10A4	1132	1364	925	1444	1165	753	825	747	827	1285	937	644	828	843
FAM110A	1247	586	2203	1074	1344	2984	1083	2844	2910	1643	1184	2183	2691	6171
FAM110B	651	645	1593	1128	1464	2201	731	461	947	2668	1209	883	1097	950
FAM110C	28	55	135	4	5	69	157	196	68	44	78	288	52	60
FAM111A	2734	2046	1407	3260	1955	1702	2185	4968	2288	1256	1633	2100	6140	2313
FAM111B	4297	561	1552	5363	6855	612	1474	3589	319	572	343	347	5602	856
FAM113A	1569	1086	944	1400	1332	1476	712	1346	1333	1202	1100	1477	1365	1739
FAM113B	507	74	302	70	110	480	419	949	337	358	904	788	861	353
FAM114A1	3103	2598	5584	1040	646	1003	2184	2770	1681	4146	4591	3017	3507	2540
FAM114A2	522	833	1178	1090	297	1218	1302	1755	1389	1797	1047	1549	1331	1233
FAM115A	991	2020	1512	1182	1138	1083	1222	1240	1150	2457	1696	2099	2780	958
FAM115C	252	804	653	939	143	1032	1345	627	533	1921	1680	1697	1627	264
FAM116A	1987	2324	2836	3906	1807	1345	1150	2477	1380	2271	1495	2834	1830	2401
FAM116B	567	337	635	295	284	784	410	386	800	642	401	450	562	252
FAM117A	1230	2037	652	2266	933	1790	2796	513	947	1599	1666	1048	1059	898
FAM117B	2567	1391	776	6445	4913	1315	1383	1303	916	1738	762	1579	1377	957
FAM118A	941	809	846	735	657	1270	480	512	673	999	903	1004	933	494
FAM118B	752	656	546	1235	969	450	191	609	580	470	634	568	1308	351
FAM119A	1208	361	813	1733	800	566	664	426	592	446	529	574	709	634
FAM119B	581	1094	872	1711	449	781	1029	547	649	758	829	772	1105	2238
FAM120AOS	3499	2050	4652	2738	2145	3531	4609	4737	6471	5015	4271	4996	4211	2265
FAM120A	14079	8398	14948	8122	10203	11182	11434	21366	16647	22468	16835	18382	16341	8921
FAM120B	2184	2310	2649	1211	2529	2360	2550	2185	2440	2390	2213	3145	2893	2096
FAM120C	619	770	1230	1106	1084	890	961	653	1253	1250	1257	1656	2215	2728
FAM122A	893	2460	990	1270	947	1334	990	1255	1003	1583	1764	1934	1489	1139
FAM122B	1756	963	1968	919	7387	1823	4535	2873	1254	1660	4051	2169	2305	2418
FAM122C	74	64	44	188	190	49	39	39	17	52	144	68	109	20
FAM123A	55	25	0	0	331	0	0	0	0	0	1	0	0	176
FAM123B	1256	1166	481	1440	1523	485	393	663	312	703	785	609	671	530
FAM123C	0	0	1	1	2094	252	0	5	0	0	0	31	0	5
FAM124A	202	72	118	85	2622	47	13	60	38	132	50	119	59	84
FAM124B	79	23	104	34	67	128	156	152	158	87	74	271	98	180
FAM125A	908	1462	1799	1668	1107	2119	1255	1813	2282	1903	1274	1432	2041	1084
FAM125B	473	1103	717	1280	2921	818	1467	1217	704	1549	979	1217	1009	916
FAM126A	1639	909	826	5030	7573	899	351	702	646	1615	1551	1291	1275	811
FAM126B	1198	1002	1473	2907	2247	664	1819	1370	1201	1301	1479	2165	1688	1471
FAM127A	1979	2336	6108	3075	1623	2557	509	2512	2641	3096	8746	3457	3804	3215
FAM127B	2930	2064	2926	4577	2902	2052	576	1636	1488	2267	3879	1908	2312	2799
FAM127C	960	1149	859	2232	904	869	158	1233	533	927	3137	1171	555	1188
FAM128A	1378	1177	2469	1852	2517	3506	4039	2356	1465	3644	2248	976	1561	1413
FAM128B	3124	2608	4904	3068	3852	8982	7119	4238	5404	6820	3473	4122	4210	4656
FAM129A	7135	3597	5121	572	622	9671	33516	4953	6852	14162	5809	7353	19053	1788
FAM129B	14991	8792	8925	13811	11914	8741	11465	19591	10943	12629	14349	12575	14756	10947
FAM129C	13	4	8	3	5	10	1	11	152	4	3	9	4	2
FAM131A	516	667	1480	1385	565	477	792	836	547	627	981	860	1577	818
FAM131B	524	55	111	8	426	113	173	169	76	509	394	155	213	228
FAM131C	63	24	4	50	76	9	2	2	14	16	3	11	2	71
FAM132A	3	142	2	4	21	5	1	5	9	5	7	34	11	85
FAM133A	2	65	15	0	0	9	5	12	5	21	47	18	29	8
FAM133B	341	247	359	565	823	384	214	288	219	366	260	334	257	405
FAM134A	7427	5404	8887	5974	2948	7969	9483	6387	9988	11001	9506	11746	9330	8135
FAM134B	812	186	1501	791	1228	1047	3780	5446	1768	1736	892	4436	1817	2298
FAM134C	3171	3740	3647	7575	4186	5705	6097	4661	6724	8713	9306	9281	4003	5523
